name,twitter,area,source,id
Kyle Seeback,@KyleSeeback,Brampton West,http://politwitter.ca/user/KyleSeeback,@KyleSeeback
LaVar Payne,@LaVarMP,Medicine Hat,http://politwitter.ca/user/LaVarMP,@LaVarMP
Jean-François Larose,@LaroseJF,Repentigny,http://politwitter.ca/user/LaroseJF,@LaroseJF
Libby Davies,@LibbyDavies,Vancouver East,http://politwitter.ca/user/LibbyDavies,@LibbyDavies
Linda Duncan,@LindaDuncanMP,Edmonton—Strathcon,http://politwitter.ca/user/LindaDuncanMP,@LindaDuncanMP
Lynne Yelich,@Lynne_Yelich,Blackstrap,http://politwitter.ca/user/Lynne_Yelich,@Lynne_Yelich
Marie-Claude Morin,@MC_Morin_NPD,Saint-Hyacinthe—Ba,http://politwitter.ca/user/MC_Morin_NPD,@MC_Morin_NPD
Greg Kerr,@MPGregKerr,West Nova,http://politwitter.ca/user/MPGregKerr,@MPGregKerr
Joy Smith,@MPJoySmith,Kildonan—St. Paul,http://politwitter.ca/user/MPJoySmith,@MPJoySmith
Peter Julian,@MPJulian,Beloeil-Chambly,http://politwitter.ca/user/MPJulian,@MPJulian
Laurie Hawn,@MPLaurieHawn,Edmonton Centre,http://politwitter.ca/user/MPLaurieHawn,@MPLaurieHawn
Nina Grewal,@MPNinaGrewal,Fleetwood—Port Kel,http://politwitter.ca/user/MPNinaGrewal,@MPNinaGrewal
Manon Perreault,@MPerreaultNPD,Montcalm,http://politwitter.ca/user/MPerreaultNPD,@MPerreaultNPD
Mark Warawa,@MPmarkwarawa,Langley,http://politwitter.ca/user/MPmarkwarawa,@MPmarkwarawa
Peter MacKay,@MacKayCPC,Central Nova,http://politwitter.ca/user/MacKayCPC,@MacKayCPC
Malcolm Allen,@Malcolm_AllenMP,Welland,http://politwitter.ca/user/Malcolm_AllenMP,@Malcolm_AllenMP
Marc Garneau,@MarcGarneau,Westmount—Ville-Ma,http://politwitter.ca/user/MarcGarneau,@MarcGarneau
Marjolaine Boutin-Sweet,@MarjBoutinSweet,Hochelaga,http://politwitter.ca/user/MarjBoutinSweet,@MarjBoutinSweet
Mark Adler,@MarkAdlerMP,York Centre,http://politwitter.ca/user/MarkAdlerMP,@MarkAdlerMP
Mark Eyking,@MarkEyking_MP,Sydney—Victoria,http://politwitter.ca/user/MarkEyking_MP,@MarkEyking_MP
Mathieu Ravignat,@MathieuRavignat,Pontiac,http://politwitter.ca/user/MathieuRavignat,@MathieuRavignat
Matthew Dubé,@MattDube,Chambly—Borduas,http://politwitter.ca/user/MattDube,@MattDube
Matthew Kellway,@MatthewKellway,Beaches—East York,http://politwitter.ca/user/MatthewKellway,@MatthewKellway
Maxime Bernier,@MaximeBernier,Beauce,http://politwitter.ca/user/MaximeBernier,@MaximeBernier
Megan Leslie,@MeganLeslieMP,Halifax,http://politwitter.ca/user/MeganLeslieMP,@MeganLeslieMP
Michelle Rempel,@MichelleRempel,Calgary Centre-North,http://politwitter.ca/user/MichelleRempel,@MichelleRempel
Mike Lake,@MikeLakeMP,Edmonton—Mill Wood,http://politwitter.ca/user/MikeLakeMP,@MikeLakeMP
